training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,112,0.002,31.9004,0.5950,0.8099,0.8617
0,113,0.002,31.2020,0.6238,0.8245,0.8661
0,114,0.002,30.9920,0.4283,0.8207,0.8668
0,115,0.002,31.2435,0.4307,0.8207,0.8664
0,116,0.002,30.6603,0.6344,0.8087,0.8680
0,117,0.002,31.1141,0.6666,0.8038,0.8665
0,118,0.002,31.6927,0.5108,0.8122,0.8633
0,119,0.002,30.9373,0.5020,0.8117,0.8654
0,120,0.002,31.2444,0.6152,0.8078,0.8648
0,121,0.002,30.4420,0.7141,0.8293,0.8674
0,122,0.002,30.6315,0.4628,0.8014,0.8670
0,123,0.002,30.3863,0.9739,0.8273,0.8694
0,124,0.002,30.4656,1.3045,0.7857,0.8681
0,125,0.002,29.6331,1.2861,0.7990,0.8715
0,126,0.002,30.4572,0.9682,0.7958,0.8672
0,127,0.002,29.9123,0.9171,0.7815,0.8703
0,128,0.002,30.2635,1.2195,0.7928,0.8685
0,129,0.002,30.1672,1.1517,0.7905,0.8702
0,130,0.002,30.4111,1.1175,0.7999,0.8689
0,131,0.002,29.6009,0.8905,0.7887,0.8726
0,132,0.002,29.6600,1.1612,0.7873,0.8715
0,133,0.002,30.3077,1.2456,0.7844,0.8689
0,134,0.002,29.8510,1.0235,0.7946,0.8700
0,135,0.002,29.3779,1.0351,0.7916,0.8717
0,136,0.002,29.5966,1.1843,0.7935,0.8717
0,137,0.002,29.5253,1.3404,0.7906,0.8730
0,138,0.002,29.2588,1.0034,0.7901,0.8733
0,139,0.002,29.2140,0.9351,0.7809,0.8740
0,140,0.002,29.4078,1.1127,0.7738,0.8713
0,141,0.002,29.4407,1.1720,0.7841,0.8725
0,142,0.002,29.7377,0.9907,0.7606,0.8699
0,143,0.002,29.3274,0.8825,0.7766,0.8725
0,144,0.002,29.2453,1.0534,0.7936,0.8726
0,145,0.002,29.1157,1.1159,0.7772,0.8732
0,146,0.002,28.8510,0.8443,0.7800,0.8753
0,147,0.001,28.8563,0.8801,0.7858,0.8749
0,148,0.001,29.0586,1.0735,0.7861,0.8750
0,149,0.001,28.2364,1.0146,0.7714,0.8791
0,150,0.001,28.2900,0.9522,0.7876,0.8770
0,151,0.001,28.3117,0.9217,0.7663,0.8774
0,152,0.001,28.6997,1.2024,0.7551,0.8750
0,153,0.001,28.0095,1.2009,0.7629,0.8772
0,154,0.001,28.0186,0.9411,0.7624,0.8793
0,155,0.001,28.2592,0.9733,0.7590,0.8778
0,156,0.001,27.5637,1.1096,0.7704,0.8809
0,157,0.001,28.4250,1.2348,0.7644,0.8762
0,158,0.001,28.3400,1.0505,0.7475,0.8771
0,159,0.001,28.1934,1.0014,0.7598,0.8784
0,160,0.001,27.8449,1.2050,0.7488,0.8796
