training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,112,0.002,31.8884,0.5254,0.8358,0.8610
0,113,0.002,31.4077,0.6339,0.8156,0.8668
0,114,0.002,31.3063,0.6056,0.8152,0.8648
0,115,0.002,30.9362,0.4673,0.8382,0.8663
0,116,0.002,31.1837,0.5292,0.8292,0.8653
0,117,0.002,30.8188,0.6436,0.8041,0.8673
0,118,0.002,31.2925,0.6267,0.7989,0.8632
0,119,0.002,30.8837,0.4938,0.8063,0.8675
0,120,0.002,30.5855,0.4881,0.8141,0.8684
0,121,0.002,30.8998,0.6142,0.8142,0.8663
0,122,0.002,30.8379,0.6017,0.8364,0.8672
0,123,0.002,31.1184,0.5296,0.8153,0.8657
0,124,0.002,30.5386,0.4653,0.7926,0.8684
0,125,0.002,30.2476,0.6263,0.8269,0.8687
0,126,0.002,30.4616,0.6918,0.8145,0.8684
0,127,0.002,30.1309,0.4710,0.8060,0.8702
0,128,0.002,30.0443,0.5134,0.7729,0.8699
0,129,0.002,30.3454,0.7037,0.8018,0.8680
0,130,0.002,30.1795,0.6279,0.7831,0.8689
0,131,0.002,30.0723,0.5170,0.8013,0.8707
0,132,0.002,30.0527,0.4694,0.7944,0.8704
0,133,0.002,29.8426,0.6710,0.7986,0.8709
0,134,0.002,29.6338,0.6457,0.7848,0.8732
0,135,0.002,30.2603,0.5114,0.8050,0.8693
0,136,0.002,29.7175,0.4493,0.7734,0.8718
0,137,0.002,30.0888,0.6103,0.8058,0.8704
0,138,0.002,29.7092,0.6023,0.7909,0.8718
0,139,0.002,29.7777,0.4630,0.7729,0.8709
0,140,0.002,29.9232,0.5065,0.7907,0.8695
0,141,0.002,29.6971,0.5866,0.7671,0.8722
0,142,0.002,30.3794,0.6210,0.7909,0.8687
0,143,0.002,29.6093,0.4672,0.8076,0.8722
0,144,0.002,29.1802,0.5238,0.7909,0.8742
0,145,0.002,29.4461,0.6276,0.7854,0.8723
0,146,0.002,28.9945,0.6472,0.7934,0.8738
0,147,0.002,28.6481,0.4416,0.7794,0.8754
0,148,0.002,28.9235,0.5302,0.7823,0.8757
0,149,0.002,28.6063,0.6306,0.7624,0.8754
0,150,0.002,28.8267,0.7900,0.7888,0.8745
0,151,0.002,28.5664,0.4537,0.7820,0.8765
0,152,0.002,28.6941,0.4743,0.7730,0.8753
0,153,0.002,28.7749,0.5988,0.7722,0.8751
0,154,0.002,28.7670,0.7394,0.7892,0.8769
0,155,0.002,28.2214,0.4580,0.7653,0.8780
0,156,0.002,28.5863,0.5568,0.7800,0.8768
0,157,0.002,28.3223,0.7249,0.7650,0.8770
0,158,0.002,27.6529,0.7087,0.7661,0.8801
0,159,0.002,28.5492,0.5430,0.7890,0.8758
0,160,0.002,28.4400,0.5219,0.7795,0.8769
0,161,0.002,28.3387,0.6285,0.7685,0.8766
0,162,0.002,28.1976,0.6668,0.7653,0.8782
0,163,0.002,27.9757,0.5036,0.7867,0.8782
0,164,0.002,27.9234,0.4507,0.7748,0.8785
0,165,0.002,27.8547,0.5993,0.7477,0.8788
0,166,0.002,27.7591,0.5766,0.7620,0.8799
0,167,0.002,28.2509,0.4395,0.7669,0.8779
0,168,0.002,27.8406,0.5160,0.7487,0.8803
0,169,0.002,27.4737,0.5602,0.7720,0.8809
0,170,0.002,27.9746,0.6044,0.7683,0.8781
0,171,0.002,27.4800,0.4342,0.7640,0.8808
0,172,0.002,27.6740,0.3993,0.7783,0.8779
