,Experience,Mean R2Score_Exp,Std R2Score_Exp
0,0,0.8495,0.0
1,1,0.846,0.0
2,2,0.8434,0.0001
3,3,0.846,0.0006
4,4,0.8469,0.0006
5,5,0.8413,0.0007
6,6,0.8435,0.0008
7,7,0.8396,0.0012
8,8,0.8429,0.0014
9,9,0.8456,0.0017
