,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8891,0.0,0,0
1,1,0.7986,0.0,0,1
2,2,0.7921,0.0003,0,2
3,3,0.7955,0.0013,0,3
4,4,0.7998,0.0014,0,4
5,5,0.7812,0.0016,0,5
6,6,0.79,0.0022,0,6
7,7,0.7879,0.002,0,7
8,8,0.8149,0.0026,0,8
9,9,0.8121,0.0042,0,9
