,Experience,Mean Forgetting_Exp,Std Forgetting_Exp
0,0,0.0,0.0
1,1,0.018,0.0001
2,2,0.0362,0.0004
3,3,0.0531,0.0006
4,4,0.0556,0.0008
5,5,0.0625,0.0012
6,6,0.0647,0.0016
7,7,0.0636,0.0026
8,8,0.0654,0.0026
9,9,0.0652,0.0027
