,Experience,Mean Forgetting_Exp,Std Forgetting_Exp
0,0,0.0,0.0
1,1,-0.0051,0.0
2,2,-0.0011,0.0
3,3,0.0042,0.0
4,4,0.006,0.0
5,5,0.0093,0.0
6,6,0.0108,0.0
7,7,0.013,0.0001
8,8,0.014,0.0001
9,9,0.0158,0.0001
