,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8476,0.0,0,0
1,1,0.8518,0.0,0,1
2,2,0.8537,0.0,0,2
3,3,0.8603,0.0003,0,3
4,4,0.8602,0.0003,0,4
5,5,0.8571,0.0003,0,5
6,6,0.8585,0.0004,0,6
7,7,0.8565,0.0005,0,7
8,8,0.8602,0.0006,0,8
9,9,0.8634,0.0008,0,9
