,Experience,Mean Forgetting_Exp,Std Forgetting_Exp
0,0,0.0,0.0
1,1,0.0058,0.0
2,2,0.0321,0.0003
3,3,0.0525,0.0008
4,4,0.0685,0.0016
5,5,0.0664,0.0012
6,6,0.0661,0.0017
7,7,0.0845,0.0033
8,8,0.0717,0.0031
9,9,0.0855,0.0038
