,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8499,0.0,0,0
1,1,0.8577,0.0001,0,1
2,2,0.8431,0.0008,0,2
3,3,0.836,0.0018,0,3
4,4,0.824,0.003,0,4
5,5,0.8259,0.0024,0,5
6,6,0.8275,0.003,0,6
7,7,0.8089,0.0051,0,7
8,8,0.8254,0.0053,0,8
9,9,0.8161,0.0066,0,9
