,Experience,Mean Forgetting_Exp,Std Forgetting_Exp
0,0,0.0,0.0
1,1,0.0125,0.0001
2,2,0.0225,0.0001
3,3,0.0269,0.0002
4,4,0.0246,0.0002
5,5,0.0257,0.0003
6,6,0.0232,0.0003
7,7,0.0241,0.0004
8,8,0.0232,0.0004
9,9,0.024,0.0005
