,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8484,0.0,0,0
1,1,0.8383,0.0001,0,1
2,2,0.8346,0.0003,0,2
3,3,0.8416,0.0008,0,3
4,4,0.8445,0.0008,0,4
5,5,0.8433,0.0008,0,5
6,6,0.848,0.001,0,6
7,7,0.8471,0.0011,0,7
8,8,0.8522,0.0013,0,8
9,9,0.8563,0.0016,0,9
