,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8906,0.0,0,0
1,1,0.8335,0.0,0,1
2,2,0.8289,0.0003,0,2
3,3,0.8166,0.0015,0,3
4,4,0.8266,0.0015,0,4
5,5,0.814,0.0017,0,5
6,6,0.8211,0.0024,0,6
7,7,0.8166,0.0022,0,7
8,8,0.8314,0.0027,0,8
9,9,0.8221,0.0043,0,9
