,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0293,0.0003,0,1
2,2,0.0344,0.0005,0,2
3,3,0.0565,0.0008,0,3
4,4,0.048,0.0008,0,4
5,5,0.059,0.0013,0,5
6,6,0.0534,0.0017,0,6
7,7,0.0568,0.0017,0,7
8,8,0.0462,0.0019,0,8
9,9,0.0613,0.0028,0,9
