,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8875,0.0,0,0
1,1,0.8418,0.0001,0,1
2,2,0.8362,0.0001,0,2
3,3,0.8396,0.0005,0,3
4,4,0.8435,0.0004,0,4
5,5,0.8335,0.0005,0,5
6,6,0.8453,0.0006,0,6
7,7,0.8441,0.0005,0,7
8,8,0.8471,0.0008,0,8
9,9,0.8525,0.0011,0,9
