,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0144,0.0001,0,1
2,2,0.0165,0.0001,0,2
3,3,0.0216,0.0003,0,3
4,4,0.018,0.0003,0,4
5,5,0.0253,0.0006,0,5
6,6,0.0165,0.0004,0,6
7,7,0.0162,0.0004,0,7
8,8,0.0186,0.0004,0,8
9,9,0.0197,0.0005,0,9
