,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8877,0.0,0,0
1,1,0.8698,0.0001,0,1
2,2,0.8599,0.0003,0,2
3,3,0.8632,0.0007,0,3
4,4,0.8657,0.0007,0,4
5,5,0.8622,0.0007,0,5
6,6,0.8612,0.0008,0,6
7,7,0.8601,0.0009,0,7
8,8,0.8622,0.001,0,8
9,9,0.8662,0.0011,0,9
