,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0194,0.0001,0,1
2,2,0.0394,0.0004,0,2
3,3,0.0538,0.0007,0,3
4,4,0.0761,0.0014,0,4
5,5,0.0707,0.0013,0,5
6,6,0.0813,0.0016,0,6
7,7,0.0894,0.0039,0,7
8,8,0.0701,0.0032,0,8
9,9,0.0809,0.0032,0,9
