,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8872,0.0,0,0
1,1,0.8655,0.0001,0,1
2,2,0.8489,0.0006,0,2
3,3,0.8476,0.0015,0,3
4,4,0.8372,0.0019,0,4
5,5,0.8364,0.0015,0,5
6,6,0.8157,0.0022,0,6
7,7,0.8054,0.005,0,7
8,8,0.8281,0.0043,0,8
9,9,0.824,0.0043,0,9
