,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0212,0.0001,0,1
2,2,0.0416,0.0004,0,2
3,3,0.0529,0.0007,0,3
4,4,0.065,0.0011,0,4
5,5,0.0638,0.001,0,5
6,6,0.0838,0.0017,0,6
7,7,0.093,0.0042,0,7
8,8,0.0723,0.0035,0,8
9,9,0.0794,0.0032,0,9
