,Experience,Mean Forgetting_Exp,Std Forgetting_Exp
0,0,0.0,0.0
1,1,-0.0013,0.0
2,2,0.0004,0.0
3,3,0.0006,0.0
4,4,-0.0012,0.0
5,5,0.001,0.0
6,6,0.0008,0.0
7,7,0.001,0.0001
8,8,0.0023,0.0001
9,9,0.0044,0.0001
