,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0167,0.0001,0,1
2,2,0.0147,0.0001,0,2
3,3,0.0157,0.0002,0,3
4,4,0.0106,0.0003,0,4
5,5,0.0119,0.0004,0,5
6,6,0.0083,0.0003,0,6
7,7,0.0076,0.0003,0,7
8,8,0.0076,0.0003,0,8
9,9,0.0091,0.0004,0,9
