,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8873,0.0,0,0
1,1,0.8391,0.0001,0,1
2,2,0.8385,0.0001,0,2
3,3,0.8456,0.0004,0,3
4,4,0.8509,0.0003,0,4
5,5,0.8481,0.0004,0,5
6,6,0.8546,0.0004,0,6
7,7,0.8541,0.0004,0,7
8,8,0.8597,0.0006,0,8
9,9,0.8648,0.0008,0,9
