,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.89,0.0,0,0
1,1,0.852,0.0,0,1
2,2,0.8469,0.0001,0,2
3,3,0.8522,0.0005,0,3
4,4,0.8525,0.0006,0,4
5,5,0.8478,0.0006,0,5
6,6,0.8513,0.0007,0,6
7,7,0.8453,0.0008,0,7
8,8,0.851,0.0011,0,8
9,9,0.8547,0.0014,0,9
