,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0163,0.0001,0,1
2,2,0.0206,0.0002,0,2
3,3,0.0247,0.0002,0,3
4,4,0.0252,0.0003,0,4
5,5,0.0288,0.0004,0,5
6,6,0.0259,0.0004,0,6
7,7,0.0307,0.0006,0,7
8,8,0.0288,0.0006,0,8
9,9,0.0307,0.0006,0,9
