,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8904,0.0,0,0
1,1,0.8485,0.0004,0,1
2,2,0.8426,0.0003,0,2
3,3,0.844,0.0002,0,3
4,4,0.8391,0.0002,0,4
5,5,0.838,0.0002,0,5
6,6,0.8394,0.0003,0,6
7,7,0.8359,0.0003,0,7
8,8,0.8427,0.0005,0,8
9,9,0.848,0.0007,0,9
