,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0041,0.0,0,1
2,2,0.0062,0.0,0,2
3,3,0.0044,0.0,0,3
4,4,0.0036,0.0001,0,4
5,5,0.0036,0.0001,0,5
6,6,0.005,0.0002,0,6
7,7,0.0062,0.0002,0,7
8,8,0.0053,0.0003,0,8
9,9,0.0053,0.0003,0,9
