,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0191,0.0001,0,1
2,2,0.0451,0.0005,0,2
3,3,0.0693,0.0013,0,3
4,4,0.0728,0.0015,0,4
5,5,0.0674,0.0011,0,5
6,6,0.0762,0.0018,0,6
7,7,0.0996,0.0049,0,7
8,8,0.0908,0.0054,0,8
9,9,0.1104,0.0055,0,9
