,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8866,0.0,0,0
1,1,0.8746,0.0002,0,1
2,2,0.8556,0.0008,0,2
3,3,0.842,0.0024,0,3
4,4,0.8406,0.0026,0,4
5,5,0.8443,0.0019,0,5
6,6,0.8347,0.0025,0,6
7,7,0.8097,0.0059,0,7
8,8,0.8207,0.0066,0,8
9,9,0.8048,0.0073,0,9
