,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0292,0.0003,0,1
2,2,0.0344,0.0005,0,2
3,3,0.0499,0.0007,0,3
4,4,0.0508,0.0008,0,4
5,5,0.0579,0.0012,0,5
6,6,0.0551,0.0018,0,6
7,7,0.0516,0.0016,0,7
8,8,0.0429,0.0017,0,8
9,9,0.0577,0.0027,0,9
