,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8899,0.0,0,0
1,1,0.8317,0.0,0,1
2,2,0.8266,0.0003,0,2
3,3,0.8216,0.0014,0,3
4,4,0.8223,0.0015,0,4
5,5,0.8139,0.0015,0,5
6,6,0.8181,0.0024,0,6
7,7,0.8208,0.0021,0,7
8,8,0.8343,0.0024,0,8
9,9,0.8253,0.0042,0,9
