training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,98,0.002,32.6425,0.5343,0.8603,0.8595
0,99,0.002,33.8181,0.6609,0.8336,0.8546
0,100,0.002,32.5412,0.8529,0.8287,0.8606
0,101,0.002,32.6021,0.7214,0.8233,0.8594
0,102,0.002,32.6353,0.5850,0.8448,0.8592
0,103,0.002,31.6959,0.5249,0.8325,0.8638
0,104,0.002,31.8833,0.6616,0.8257,0.8634
0,105,0.002,32.0927,0.8010,0.8230,0.8621
0,106,0.002,32.0010,0.5735,0.8324,0.8633
0,107,0.002,31.7757,0.6099,0.8297,0.8629
0,108,0.002,31.2424,0.6377,0.8170,0.8658
0,109,0.002,31.2056,0.7596,0.8145,0.8648
0,110,0.002,31.4821,0.5703,0.8126,0.8648
0,111,0.002,31.7123,0.5437,0.8038,0.8654
0,112,0.002,31.3596,0.7449,0.8203,0.8662
0,113,0.002,31.5847,0.6435,0.7942,0.8639
0,114,0.002,30.8074,0.5914,0.8171,0.8665
0,115,0.002,30.8988,0.5923,0.7991,0.8685
0,116,0.002,30.7980,0.6911,0.8099,0.8678
0,117,0.002,30.6722,0.7397,0.8066,0.8687
0,118,0.002,30.3521,0.5207,0.8072,0.8695
0,119,0.002,30.3989,0.5644,0.7829,0.8685
0,120,0.002,30.8790,0.6865,0.8009,0.8677
0,121,0.002,30.5005,0.7890,0.8119,0.8676
0,122,0.002,30.4407,0.5894,0.7907,0.8691
0,123,0.002,30.5390,0.5396,0.7989,0.8688
0,124,0.002,29.8192,0.7026,0.7999,0.8727
0,125,0.002,29.7031,0.7063,0.7827,0.8713
0,126,0.002,30.4008,0.5749,0.7904,0.8692
0,127,0.002,30.2290,0.5264,0.7849,0.8691
0,128,0.002,29.9408,0.7206,0.8080,0.8715
0,129,0.002,29.8018,0.6883,0.7859,0.8711
0,130,0.002,29.5989,0.6097,0.7845,0.8733
0,131,0.002,29.6255,0.4985,0.7712,0.8722
0,132,0.002,28.9698,0.6671,0.8082,0.8763
0,133,0.002,29.4454,0.6970,0.7819,0.8738
0,134,0.002,29.2840,0.5558,0.7865,0.8734
0,135,0.002,29.1762,0.5485,0.7743,0.8743
0,136,0.002,29.5985,0.7768,0.7782,0.8719
0,137,0.002,29.2437,0.6641,0.7818,0.8727
0,138,0.002,29.5238,0.5438,0.7694,0.8727
0,139,0.002,29.0839,0.6386,0.7707,0.8738
0,140,0.002,28.9643,0.6444,0.7804,0.8754
0,141,0.002,29.4647,0.6995,0.7854,0.8728
0,142,0.002,28.9436,0.5226,0.7678,0.8752
0,143,0.002,29.2398,0.6463,0.7599,0.8736
0,144,0.002,29.0269,0.6799,0.8022,0.8751
0,145,0.002,28.5711,0.7733,0.7747,0.8760
0,146,0.002,29.2833,0.5843,0.7775,0.8745
0,147,0.002,28.5760,0.5662,0.7752,0.8766
0,148,0.002,28.8044,0.7352,0.7483,0.8758
0,149,0.002,28.4855,0.6828,0.7880,0.8763
0,150,0.002,28.3283,0.5977,0.7779,0.8780
0,151,0.002,28.5793,0.5998,0.7788,0.8757
0,152,0.002,28.5543,0.7153,0.7463,0.8760
0,153,0.002,28.6317,0.7767,0.7915,0.8766
0,154,0.002,28.3571,0.5318,0.7537,0.8773
0,155,0.002,28.7427,0.6153,0.7615,0.8751
0,156,0.002,28.4582,0.7257,0.7629,0.8769
0,157,0.002,28.2218,0.6695,0.7555,0.8777
0,158,0.002,27.8642,0.5721,0.7682,0.8808
0,159,0.002,28.2148,0.5777,0.7775,0.8784
0,160,0.002,28.2515,0.6980,0.7731,0.8778
