,Experience,Mean Forgetting_Exp,Std Forgetting_Exp
0,0,0.0,0.0
1,1,0.0121,0.0
2,2,0.0231,0.0001
3,3,0.0367,0.0003
4,4,0.0474,0.0007
5,5,0.0591,0.0012
6,6,0.052,0.0008
7,7,0.0499,0.0009
8,8,0.0499,0.0012
9,9,0.0579,0.0017
