,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8476,0.0,0,0
1,1,0.8383,0.0001,0,1
2,2,0.8353,0.0004,0,2
3,3,0.8347,0.0012,0,3
4,4,0.8265,0.0017,0,4
5,5,0.8147,0.0024,0,5
6,6,0.8242,0.0019,0,6
7,7,0.8266,0.002,0,7
8,8,0.8307,0.0028,0,8
9,9,0.8272,0.004,0,9
