,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8876,0.0,0,0
1,1,0.8754,0.0002,0,1
2,2,0.8589,0.0008,0,2
3,3,0.8445,0.0023,0,3
4,4,0.8401,0.0027,0,4
5,5,0.8442,0.0018,0,5
6,6,0.8333,0.0027,0,6
7,7,0.8057,0.0062,0,7
8,8,0.8172,0.0071,0,8
9,9,0.8043,0.0076,0,9
