,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0186,0.0001,0,1
2,2,0.0418,0.0004,0,2
3,3,0.067,0.0012,0,3
4,4,0.0734,0.0016,0,4
5,5,0.0675,0.0011,0,5
6,6,0.0775,0.002,0,6
7,7,0.1036,0.0052,0,7
8,8,0.0945,0.0058,0,8
9,9,0.1109,0.0058,0,9
