training_exp,epoch,Loss_Epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,324.1228,0.0,4.3209,0.2736
0,1,206.6248,0.0,2.2195,0.5238
0,2,168.3086,0.0,1.5881,0.2545
0,3,153.8497,0.0,1.3105,0.5180
0,4,136.0608,0.0,1.5447,0.6676
0,5,124.8049,0.0,1.5785,0.6827
0,6,111.7855,0.0,1.3668,0.6249
0,7,103.8132,0.0,1.1077,0.7359
0,8,93.2544,0.0,1.6008,0.6408
0,9,102.1101,0.0,1.2539,0.7461
0,10,91.1883,0.0,1.2052,0.7920
0,11,113.8524,0.0,1.8869,-2.8876
0,12,96.5153,0.0,1.0589,0.7894
0,13,102.8760,0.0,1.5104,0.7764
0,14,105.5156,0.0,1.1607,0.7682
0,15,95.9969,0.0,1.3536,0.7640
0,16,82.1925,0.0,1.1085,0.8304
0,17,82.1398,0.0,1.5257,0.7980
0,18,81.3301,0.0,1.0423,0.8259
0,19,74.5661,0.0,1.2948,0.8315
0,20,92.0493,0.0,1.0904,0.7803
0,21,92.0270,0.0,1.3922,0.3307
0,22,84.6231,0.0,1.2456,-0.0702
0,23,105.9667,0.0,1.4047,0.7329
0,24,106.6946,0.0,1.0297,0.7550
0,25,104.0655,0.0,1.4520,0.7798
0,26,101.2370,0.0,1.2024,0.7733
0,27,89.0717,0.0,1.3014,0.8136
0,28,87.3810,0.0,1.2967,0.8060
0,29,81.6985,0.0,1.2401,0.6828
0,30,80.6600,0.0,1.1757,0.8328
0,31,80.2242,0.0,1.2837,0.5128
0,32,80.1273,0.0,0.9664,0.8235
0,33,80.4790,0.0,1.4806,0.8355
0,34,83.1398,0.0,1.1105,0.8228
0,35,82.0565,0.0,1.0725,0.8256
0,36,77.3079,0.0,1.1354,0.7840
0,37,75.4083,0.0,1.2317,0.6839
0,38,71.2719,0.0,1.0199,0.8433
0,39,73.4402,0.0,1.1505,0.7351
0,40,84.0161,0.0,1.1552,0.8164
0,41,81.5295,0.0,1.1937,0.7361
0,42,107.6949,0.0,1.2181,0.7764
0,43,79.0095,0.0,0.9200,0.7974
0,44,82.8013,0.0,1.2254,0.7482
0,45,107.4884,0.0,1.1179,0.7729
0,46,94.4058,0.0,1.2947,0.7750
0,47,87.5535,0.0,1.1764,0.8003
0,48,87.1487,0.0,1.1319,0.8189
0,49,78.6750,0.0,1.2367,0.8286
0,50,79.1047,0.0,1.2422,0.8207
0,51,74.7049,0.0,1.0836,0.8288
0,52,76.8033,0.0,1.1939,0.8402
0,53,79.0631,0.0,1.1397,0.8081
0,54,74.4958,0.0,1.2504,0.8446
0,55,70.7935,0.0,1.0613,0.8397
0,56,70.3940,0.0,1.0778,0.7998
0,57,68.5585,0.0,1.1657,0.8463
0,58,66.6096,0.0,1.2820,0.8379
0,59,69.3046,0.0,1.0653,0.8223
0,60,69.4733,0.0,1.1785,0.8558
0,61,69.5203,0.0,1.0910,0.8552
0,62,70.1302,0.0,1.0479,0.8215
0,63,70.2031,0.0,1.1672,0.7020
0,64,71.6982,0.0,1.1175,0.8411
0,65,68.7456,0.0,1.4207,0.8034
0,66,67.5128,0.0,1.1148,0.8584
0,67,65.5915,0.0,1.1572,0.8625
0,68,68.5332,0.0,1.1032,0.8461
0,69,72.8814,0.0,1.0888,0.8188
0,70,66.6590,0.0,1.2914,0.8264
0,71,69.0252,0.0,1.1955,0.8187
0,72,66.6814,0.0,1.1859,0.8316
0,73,62.6421,0.0,1.0804,0.8556
0,74,65.6519,0.0,1.1500,0.8099
0,75,63.8284,0.0,1.0883,0.8633
0,76,64.7859,0.0,1.0742,0.8416
0,77,66.8796,0.0,1.0755,0.8184
0,78,68.4168,0.0,1.2287,0.8490
0,79,65.6683,0.0,1.0200,0.7895
0,80,67.8200,0.0,1.1843,0.8571
0,81,70.2010,0.0,1.0947,0.7987
0,82,64.7503,0.0,0.9839,0.8462
0,83,65.0157,0.0,1.1732,0.8117
0,84,65.2887,0.0,1.2334,0.8533
0,85,65.4300,0.0,1.1155,0.8430
