,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8879,0.0,0,0
1,1,0.8661,0.0001,0,1
2,2,0.8535,0.0005,0,2
3,3,0.8574,0.001,0,3
4,4,0.862,0.001,0,4
5,5,0.8595,0.001,0,5
6,6,0.8604,0.0012,0,6
7,7,0.8583,0.0015,0,7
8,8,0.8624,0.0016,0,8
9,9,0.8671,0.0018,0,9
