,Experience,Mean Forgetting_Exp,Std Forgetting_Exp
0,0,0.0,0.0
1,1,0.0128,0.0001
2,2,0.0231,0.0001
3,3,0.0365,0.0003
4,4,0.0472,0.0007
5,5,0.0627,0.0013
6,6,0.0539,0.0009
7,7,0.0565,0.0011
8,8,0.0528,0.0012
9,9,0.061,0.0017
