,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8488,0.0,0,0
1,1,0.8369,0.0001,0,1
2,2,0.8345,0.0004,0,2
3,3,0.834,0.0012,0,3
4,4,0.8259,0.0017,0,4
5,5,0.8104,0.0026,0,5
6,6,0.8215,0.002,0,6
7,7,0.8193,0.0023,0,7
8,8,0.8273,0.0029,0,8
9,9,0.8237,0.0039,0,9
