,Experience,Mean R2Score_Exp,Std R2Score_Exp
0,0,0.8872,0.0
1,1,0.8659,0.0002
2,2,0.8552,0.0004
3,3,0.8616,0.0008
4,4,0.8669,0.0009
5,5,0.8659,0.0009
6,6,0.8678,0.001
7,7,0.8649,0.0012
8,8,0.87,0.0013
9,9,0.8741,0.0014
