,Experience,Mean Forgetting_Exp,Std Forgetting_Exp
0,0,0.0,0.0
1,1,0.006,0.0
2,2,0.0304,0.0003
3,3,0.0517,0.0007
4,4,0.0665,0.0015
5,5,0.0607,0.0009
6,6,0.0664,0.0016
7,7,0.0845,0.0034
8,8,0.0753,0.0032
9,9,0.0865,0.0037
