,Experience,Mean R2Score_Exp,Std R2Score_Exp
0,0,0.8499,0.0
1,1,0.8588,0.0001
2,2,0.8463,0.0007
3,3,0.8383,0.0018
4,4,0.8273,0.0029
5,5,0.8327,0.0019
6,6,0.8281,0.0029
7,7,0.8098,0.0052
8,8,0.8228,0.0054
9,9,0.816,0.0065
