,Experience,Mean Forgetting_Exp,Std Forgetting_Exp
0,0,0.0,0.0
1,1,0.0334,0.0004
2,2,0.0384,0.0004
3,3,0.1182,0.0026
4,4,0.2135,0.0152
5,5,0.2016,0.0167
6,6,0.1043,0.0046
7,7,0.1224,0.0072
8,8,0.3826,0.0411
9,9,0.4547,0.0497
