,Experience,Mean R2Score_Exp,Std R2Score_Exp
0,0,0.8497,0.0
1,1,0.8387,0.0001
2,2,0.8366,0.0003
3,3,0.8455,0.0006
4,4,0.8502,0.0006
5,5,0.8513,0.0006
6,6,0.8549,0.0007
7,7,0.8543,0.0009
8,8,0.8587,0.001
9,9,0.8627,0.0012
