,Experience,Mean Forgetting_Exp,Std Forgetting_Exp
0,0,0.0,0.0
1,1,0.0132,0.0001
2,2,0.0207,0.0001
3,3,0.0218,0.0001
4,4,0.0182,0.0002
5,5,0.017,0.0002
6,6,0.0156,0.0002
7,7,0.0164,0.0003
8,8,0.0165,0.0003
9,9,0.0176,0.0002
