,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0234,0.0002,0,1
2,2,0.0404,0.0004,0,2
3,3,0.0612,0.0012,0,3
4,4,0.0554,0.0015,0,4
5,5,0.071,0.0033,0,5
6,6,0.047,0.0024,0,6
7,7,0.0401,0.0015,0,7
8,8,0.0408,0.002,0,8
9,9,0.0496,0.0038,0,9
