,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.89,0.0,0,0
1,1,0.8321,0.0,0,1
2,2,0.81,0.0004,0,2
3,3,0.7968,0.0017,0,3
4,4,0.8029,0.0021,0,4
5,5,0.7852,0.0037,0,5
6,6,0.8127,0.0032,0,6
7,7,0.8179,0.0019,0,7
8,8,0.823,0.0025,0,8
9,9,0.8211,0.0055,0,9
