,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8493,0.0,0,0
1,1,0.8337,0.0,0,1
2,2,0.8306,0.0001,0,2
3,3,0.8373,0.0003,0,3
4,4,0.8368,0.0002,0,4
5,5,0.8349,0.0002,0,5
6,6,0.8372,0.0003,0,6
7,7,0.8358,0.0002,0,7
8,8,0.8393,0.0004,0,8
9,9,0.8421,0.0006,0,9
