,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.889,0.0,0,0
1,1,0.8316,0.0002,0,1
2,2,0.8328,0.0001,0,2
3,3,0.838,0.0004,0,3
4,4,0.8431,0.0004,0,4
5,5,0.8342,0.0004,0,5
6,6,0.8358,0.0005,0,6
7,7,0.8286,0.0005,0,7
8,8,0.841,0.0009,0,8
9,9,0.8461,0.0014,0,9
