,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0161,0.0001,0,1
2,2,0.0126,0.0002,0,2
3,3,0.0168,0.0003,0,3
4,4,0.0129,0.0004,0,4
5,5,0.0202,0.0005,0,5
6,6,0.02,0.0005,0,6
7,7,0.0253,0.0006,0,7
8,8,0.0183,0.0007,0,8
9,9,0.0204,0.0008,0,9
