,Experience,Mean R2Score_Exp,Std R2Score_Exp,eval_exp,training_exp
0,0,0.8898,0.0,0,0
1,1,0.8236,0.0001,0,1
2,2,0.8294,0.0001,0,2
3,3,0.8411,0.0003,0,3
4,4,0.8484,0.0003,0,4
5,5,0.846,0.0003,0,5
6,6,0.8478,0.0005,0,6
7,7,0.846,0.0004,0,7
8,8,0.8549,0.0007,0,8
9,9,0.8274,0.0033,0,9
