,Experience,Mean Forgetting_Exp,Std Forgetting_Exp,eval_exp,training_exp
0,0,0.0,0.0,0,0
1,1,0.0234,0.0002,0,1
2,2,0.0145,0.0003,0,2
3,3,0.0123,0.0004,0,3
4,4,0.0067,0.0004,0,4
5,5,0.0077,0.0004,0,5
6,6,0.0078,0.0004,0,6
7,7,0.0089,0.0004,0,7
8,8,0.0058,0.0005,0,8
9,9,0.0384,0.0027,0,9
