training_exp,epoch,Loss_Epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,327.7877,0.0,4.0836,0.2906
0,1,202.4711,0.0,1.9540,0.5856
0,2,166.8675,0.0,1.4737,0.6465
0,3,151.1814,0.0,1.7934,0.6761
0,4,135.2943,0.0,1.3877,0.6908
0,5,138.6867,0.0,1.4218,0.7085
0,6,124.1783,0.0,1.3918,0.1892
0,7,105.3022,0.0,1.1909,0.7821
0,8,96.6229,0.0,1.1196,0.7933
0,9,96.7813,0.0,1.1827,0.7812
0,10,90.5511,0.0,1.5406,0.8145
0,11,90.6286,0.0,1.5421,0.7881
0,12,101.1662,0.0,1.1177,0.7884
0,13,100.6139,0.0,1.1959,0.7885
0,14,91.3296,0.0,1.1726,0.8046
0,15,90.1019,0.0,1.1724,0.2059
0,16,89.8117,0.0,1.2371,0.8035
0,17,89.6587,0.0,1.1908,0.8080
0,18,92.4459,0.0,1.1502,0.7807
0,19,83.7094,0.0,1.3357,0.7858
0,20,78.3755,0.0,1.2546,0.8013
0,21,80.7818,0.0,1.1324,0.3637
0,22,77.6390,0.0,1.3048,0.8269
0,23,74.1598,0.0,1.6351,0.8339
0,24,73.3091,0.0,1.1298,0.8374
0,25,75.4370,0.0,1.2255,0.8303
0,26,74.7186,0.0,1.2868,0.8244
0,27,79.5771,0.0,1.1636,0.5538
0,28,82.0856,0.0,1.0021,0.8235
0,29,84.8167,0.0,1.3538,0.8222
0,30,90.0687,0.0,1.3461,0.6838
0,31,86.5650,0.0,1.0470,0.7945
0,32,86.3418,0.0,1.2830,0.7968
0,33,80.4119,0.0,0.9340,0.8158
0,34,82.3201,0.0,1.1540,0.8286
0,35,75.3137,0.0,1.2638,0.8325
0,36,88.3868,0.0,0.9917,0.7786
0,37,91.4933,0.0,1.1116,0.7492
0,38,77.5618,0.0,1.2250,0.7380
0,39,81.9931,0.0,1.2022,0.7505
0,40,82.0605,0.0,1.2858,0.8228
0,41,73.7782,0.0,1.0224,0.8403
0,42,74.8379,0.0,1.0421,0.8409
0,43,79.8063,0.0,1.3870,0.8027
0,44,96.9888,0.0,1.1622,0.7295
0,45,83.9174,0.0,1.2157,0.7610
0,46,78.9396,0.0,1.2888,0.8380
0,47,74.4878,0.0,1.0915,0.6024
0,48,76.4373,0.0,1.1320,0.8326
0,49,79.4338,0.0,1.2487,0.7900
0,50,91.0663,0.0,1.2549,0.5908
0,51,80.1426,0.0,1.1384,0.8202
0,52,84.6347,0.0,1.1760,0.8163
0,53,96.5603,0.0,1.0296,0.7960
0,54,78.5646,0.0,1.3709,0.8365
0,55,78.9682,0.0,1.0840,0.8079
0,56,75.8634,0.0,1.2546,0.8396
0,57,78.7264,0.0,1.2170,0.8015
0,58,83.2608,0.0,1.2233,0.7971
0,59,82.2222,0.0,1.3931,0.8295
